city,year,field,Period,block,plot,covercrop,seq2,depth,pH,P,SOM,DB,WAS,TN,NO3,RP
Brownstown,2002,2,corn,3,27,rye,1,0-5cm,5.54,42,37.6,1.32,48.6,0.13,0.7,711
Brownstown,2002,2,corn,3,28,fallow,0,0-5cm,5.41,43,38.4,1.39,45.6,0.14,1.2,791
Brownstown,2002,2,corn,4,29,mix,1,0-5cm,5.61,39,38.7,1.27,42.8,0.17,8.7,825
Brownstown,2002,2,corn,4,30,rye,1,0-5cm,5.05,46,32.3,1.27,49.5,0.16,32.3,688
Brownstown,2002,2,corn,4,31,fallow,0,0-5cm,5.02,42,32.3,1.41,50.6,0.2,3,660
Brownstown,2002,2,corn,4,32,vetch,1,0-5cm,4.51,54,41.6,1.38,32.7,0.16,14.8,761
Urbana,2002,1,corn,1,1,mix,1,5-10cm,5.23,33.5,37,1.38,44.5,0.16,80.5,1402
Urbana,2002,1,corn,1,2,fallow,0,5-10cm,6.11,30.5,31.8,1.32,29.8,0.16,53.3,1593
Urbana,2002,1,corn,1,3,vetch,1,5-10cm,6.51,21,30.3,1.26,41,0.16,92.8,1359
Urbana,2002,1,corn,1,4,rye,1,5-10cm,5.7,15.5,28.8,1.34,42.8,0.14,121,1251
Urbana,2002,1,corn,2,5,rye,1,5-10cm,4.44,18,34.4,1.16,52.1,0.14,67.3,1262
Urbana,2002,1,corn,2,6,mix,1,5-10cm,5.61,20,28.4,1.41,37.3,0.19,110,1421
Urbana,2002,1,corn,2,7,fallow,0,5-10cm,5.34,50,33.4,1.54,26.7,0.16,80,1676
Urbana,2002,1,corn,2,8,vetch,1,5-10cm,5.86,41.5,38.6,1.28,36.2,1.42,35.9,1204
Urbana,2002,1,corn,3,9,rye,1,5-10cm,5.64,30,34.6,1.43,33.9,1.41,15.5,1366
Urbana,2002,1,corn,3,10,vetch,1,5-10cm,5.9,35.5,32.3,1.36,41.1,1.23,3.5,1266
Urbana,2002,1,corn,3,11,fallow,0,5-10cm,5.79,35.5,32.8,1.45,34,0.08,16.7,1503
Urbana,2002,1,corn,3,12,mix,1,5-10cm,6.18,27.5,34.9,1.33,42.7,0.11,27.4,1406
Urbana,2002,1,corn,4,13,fallow,0,5-10cm,5.73,30.5,30.4,1.41,30.3,0.1,22.2,1287
Urbana,2002,1,corn,4,14,rye,1,5-10cm,6.34,37.5,31.7,1.39,49.5,0.14,19.8,1303
Urbana,2002,1,corn,4,15,vetch,1,5-10cm,6.13,35,30.8,1.42,44.4,0.1,2.29,1275
Urbana,2002,1,corn,4,16,mix,1,5-10cm,5.7,26.5,35.1,1.34,41.1,0.11,2.09,1310
Urbana,2002,2,soybean,1,17,vetch,1,5-10cm,5.46,32,28.3,1.38,41.3,0.13,2.06,1592
Urbana,2002,2,soybean,1,18,fallow,0,5-10cm,6.35,44,26.6,1.47,42.6,0.1,2.86,1587
Urbana,2002,2,soybean,1,19,rye,1,5-10cm,6.61,32.5,29,1.42,37.8,0.13,36.1,1461
Urbana,2002,2,soybean,1,20,mix,1,5-10cm,5.64,31,34,1.37,38,0.13,8.03,1469
Urbana,2002,2,soybean,2,21,vetch,1,5-10cm,5.87,23,30.7,1.58,37.9,0.1,40.1,1412
Urbana,2002,2,soybean,2,22,mix,1,5-10cm,5.93,30,33.8,1.3,44.4,1.65,30.5,1625
Urbana,2002,2,soybean,2,23,rye,1,5-10cm,6.26,19,25.6,1.49,32,1.41,43.4,1324
Urbana,2002,2,soybean,2,24,fallow,0,5-10cm,5.78,28.5,28,1.25,34.6,1.67,47.5,1465
Urbana,2002,2,soybean,3,25,vetch,1,5-10cm,5.63,22,29.5,1.35,41.1,1.63,46.4,1791
Urbana,2002,2,soybean,3,26,mix,1,5-10cm,5.92,17,22.2,1.56,34.9,0.11,20,1552
Urbana,2002,2,soybean,3,27,rye,1,5-10cm,6.52,13,29.2,1.45,48.2,1.32,23.5,1487
Urbana,2002,2,soybean,3,28,fallow,0,5-10cm,6.45,20,26.6,1.45,42.4,1.19,11.8,1499
Urbana,2002,2,soybean,4,29,mix,1,5-10cm,6.32,20,27.7,1.46,42.5,0.09,4.45,1543
Urbana,2002,2,soybean,4,30,rye,1,5-10cm,6.64,12.5,21.5,1.61,48.2,0.09,0.62,1560
Urbana,2002,2,soybean,4,31,fallow,0,5-10cm,6.59,18.5,18.2,1.57,48.3,0.11,0.62,1668
Urbana,2002,2,soybean,4,32,vetch,1,5-10cm,6.69,17.5,25.6,1.52,50.2,0.11,2,1636
Urbana,2003,1,soybean,1,1,mix,1,5-10cm,6.02,45,42,1.38,44.3,0.17,0.7,2578
Urbana,2003,1,soybean,1,2,fallow,0,5-10cm,5.58,55,39.4,1.38,37.9,0.15,7.1,2212
Urbana,2003,1,soybean,1,3,vetch,1,5-10cm,6.46,38,37,1.37,52.9,0.15,8,2228
Urbana,2003,1,soybean,1,4,rye,1,5-10cm,6.27,26,28.7,1.37,48.5,0.14,4.5,2083
Urbana,2003,1,soybean,2,5,rye,1,5-10cm,6.13,30,36.2,1.33,47.5,0.16,2.2,2270
Urbana,2003,1,soybean,2,6,mix,1,5-10cm,6.95,31,39.7,1.21,54.1,0.17,2.5,1740
Urbana,2003,1,soybean,2,7,fallow,0,5-10cm,6.14,45,38.2,1.36,47.6,0.18,4.1,2162
Urbana,2003,1,soybean,2,8,vetch,1,5-10cm,5.92,36,42.1,1.24,39.4,0.19,3.4,2701
Urbana,2003,1,soybean,3,9,rye,1,5-10cm,5.68,43,43.8,1.3,47.7,0.16,0.7,1271
Urbana,2003,1,soybean,3,10,vetch,1,5-10cm,6.36,56,43.3,1.38,45.7,0.16,1,2951
